ID,Type,SKU,Name,Published,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories
1561,simple,IWP-00436,Female to Female Jumper Wire,1,1,380,,1,0,0.01,,,,1,,,2.5,"IoT Components > Cables - Wire, IoT Components, IoT Components > Tools"
1562,simple,IWP-00018,LCD16X2 I2C LCD Display,1,1,7,,notify,0,0.04,,,,1,,,230,"IoT Components > Display, IoT Components"
1563,simple,IWP-00019,MATRIX DISPLAY,1,1,2,,notify,0,0.08,,,,1,,,550,"IoT Components > Display, IoT Components"
1564,simple,IWP-00046,Micro USB Connector,1,1,10,,notify,0,0.01,,,,1,,,28,"IoT Components > Cables - Wire, IoT Components, IoT Components > Tools"
1566,simple,IWP-00074,LDR,1,1,5,,notify,0,0.01,,,,1,,,10,"IoT Components, Sensors, Sensors > Raspberry Pi Sensor, Sensors > Arduino Sensor"
1567,simple,IWP-00032,PN532 NFC RFID V3 KIT,1,1,5,,notify,0,0.05,,,,1,,,630,"Sensors > Arduino Sensor, IoT Boards > IoT Kits, Sensors > Raspberry Pi Sensor, Sensors"
1568,simple,IWP-00323,Arduino UNO R3 Compatible Board,1,1,10,,0,0,0.04,,,,1,,,380,"Arduino, IoT Boards, IoT Components, IoT Boards > IoT Kits"
1569,simple,IWP-00001,Wio Link,1,1,3,,0,0,0.1,,,,1,,,1499,"Arduino, IoT Boards, IoT Components, IoT Boards > IoT Kits"
1570,simple,IWP-00054,NODE MCU -CH340 Lolin Board,1,1,9,,1,1,0.05,,,,1,,,275,"Arduino, IoT Boards, IoT Components, IoT Boards > IoT Kits"
1571,simple,IWP-00006,LinkIt Connect 7681 - Wi-Fi HDK for IoT,1,1,,,0,0,0.08,,,,1,,,999,"Arduino, IoT Boards, IoT Components, IoT Boards > IoT Kits"
1572,simple,IWP-00012,MICRO SERVO 9G,1,1,3,,notify,0,0.09,,,,1,,,125,"Sensors > Arduino Sensor, IoT Components, Sensors > Raspberry Pi Sensor, Sensors"
1573,simple,IWP-00077,SOIL MOISTURE SENSOR,1,1,4,,notify,0,0.2,,,,1,,,100,"Sensors > Arduino Sensor, IoT Components, Sensors > Raspberry Pi Sensor, Sensors"
1574,simple,IWP-00072,RELAY MODULE 1 CHANNEL,1,1,5,,notify,0,0.2,,,,1,,,95,"IoT Components, IoT Components > Relay, Sensors, Sensors > Raspberry Pi Sensor, Sensors > Arduino Sensor"
1575,simple,IWP-00347,Raspberry Pi 3 Model B Plus,1,1,,,0,0,0.2,,,,1,,,2990,"Arduino, IoT Boards, IoT Components, IoT Boards > IoT Kits"
1576,simple,IWP-00143,Raspberry pi case,1,1,4,,notify,0,0.2,,,,1,,,180,"IoT Components, IoT Components > Tools"
1577,simple,IWP-00350,HDMI 3.5inch LCD Touch Screen for Raspberry Pi 3,1,1,,,0,0,0.2,,,,1,,,2800,"IoT Components > Display, Sensors > Raspberry Pi Sensor"
1578,simple,IWP-00344,Power Supply for Raspberry Pi,1,backorder,0,,notify,0,0.18,,,,1,,,1699,"IoT Components > Power Supply, Sensors, Sensors > Raspberry Pi Sensor, Sensors > Arduino Sensor"
1579,simple,IWP-00351,Raspberry PI 5MP Camera Board Module,1,1,4,,notify,0,0.2,,,,1,,,550,"Sensors > Raspberry Pi Sensor, Sensors"
1580,simple,IWP-00004,LINKit SMART 7688 DUO,1,1,3,,1,0,0.05,,,,1,,,1799,"Arduino, IoT Boards, IoT Boards > IoT Kits"
